CatNo,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3
UT15-90D,1,2,2,1,2,0,1,1,2,2,1,2
UT15-91D,3,1,3,2,2,2,1,1,1,2,1,2
UT15-91D,3,1,3,2,2,2,1,1,2,2,1,2
UT15-93D,3,4,2,1,2,0,0,0,1,2,1,2
UT15-93D,3,4,2,1,2,0,0,0,2,2,1,2
UT15-97D,1,1,2,1,3,1,1,1,1,2,1,1
UT15-97D,1,1,2,1,3,1,1,1,2,2,1,1
UT15-98D,3,5,1,1,2,4,0,1,3,2,3,1
UT16-04D,3,5,1,1,2,4,1,0,3,2,3,2
UT16-98D,3,5,1,1,1,4,1,0,3,2,3,2
UT17-00D,2,2,3,1,3,0,0,0,2,2,1,2
UT17-00D,2,2,3,1,3,0,0,0,2,2,1,2
UT17-04D,3,5,1,1,1,3,1,1,3,2,3,1
UT17-88D,1,1,1,2,2,1,0,1,2,2,1,2
UT17-88D,1,1,1,2,2,1,0,1,3,2,1,2
UT17-99D,3,5,1,1,1,3,,0,3,2,3,2
UT18-04D,3,3,1,1,1,3,0,0,2,2,3,1
UT18-04D,3,4,1,1,1,4,0,0,2,2,3,1
UT18-05D,1,1,3,0,2,0,1,1,2,2,1,1
UT18-05D,1,1,3,0,2,0,1,1,2,2,1,1
UT18-88D,2,2,2,3,2,1,0,0,2,2,1,2
UT18-88D,2,2,2,3,2,1,0,0,2,2,1,2
UT18-90D,2,2,2,2,2,1,0,0,2,2,1,2
UT18-90D,2,2,2,2,2,1,0,0,2,2,1,2
UT18-99D,3,5,1,1,2,4,1,0,2,2,3,2
UT19-03D,2,4,2,2,2,1,1,0,2,2,3,2
UT19-04D,2,4,1,0,2,4,1,1,1,2,3,1
UT19-04D,2,4,2,0,2,1,1,1,1,2,3,1
UT19-93D,3,3,1,0,1,3,0,0,1,2,3,2
UT19-94D,1,1,3,1,3,0,0,1,1,2,1,2
UT19-94D,1,1,3,1,3,0,0,1,3,2,1,2
UT19-94D,1,1,3,1,3,0,0,1,3,2,1,2
UT20-01D,2,3,2,1,2,3,1,0,3,2,3,1
UT21-01D,3,5,1,1,3,4,1,0,3,2,3,2
UT21-03D,2,3,2,1,1,1,1,1,3,2,3,2
UT21-92D,1,1,3,1,2,0,1,1,2,2,1,2
UT21-92D,1,1,3,1,2,0,1,1,2,2,1,2
UT21-94D,2,5,1,1,2,3,1,1,1,2,3,2
UT22-00D,3,5,1,0,1,3,0,0,2,2,3,2
UT22-03D,3,5,1,1,2,4,0,0,1,2,3,2
UT22-94D,3,3,1,0,1,3,0,0,,2,3,2
UT23-00D,3,3,2,2,1,4,0,0,2,2,3,1
UT23-03D,2,2,3,1,3,0,0,0,0,2,1,2
UT23-03D,2,2,3,1,3,0,0,0,2,2,1,2
UT23-94D,2,5,2,1,2,1,1,0,2,2,3,2
UT24-04D,3,5,1,0,2,3,1,0,3,2,3,2
UT25-04D,3,2,2,1,2,3,1,1,2,2,1,2
UT25-04D,3,2,2,1,2,3,1,1,2,2,1,2
UT25-93D,2,3,2,1,3,3,0,0,0,2,1,2
UT25-93D,2,3,2,1,3,3,0,0,2,2,1,2
UT26-01D,3,5,2,2,2,3,0,1,,2,3,2
UT26-04D,2,4,2,0,1,1,1,0,2,2,3,1
UT26-04D,3,5,3,0,2,,,,,2,3,1
UT26-99D,3,5,1,1,2,3,1,1,3,2,3,1
UT27-01D,3,5,2,2,2,4,0,1,3,2,3,1
UT27-04D,3,5,2,2,2,1,0,0,3,2,3,2
UT27-99D,3,5,1,1,1,3,1,1,3,2,3,2
UT28-01D,1,2,1,2,3,1,0,0,3,2,3,1
UT29-01D,2,4,1,1,1,3,1,0,3,2,3,2
UT29-03D,1,3,1,1,2,4,,1,1,2,3,1
UT30-01D,1,4,3,1,2,1,0,1,0,2,1,2
UT30-01D,1,4,3,1,2,1,0,1,2,2,1,2
UT30-03D,3,4,3,1,2,2,0,1,1,2,3,2
UT31-03D,3,5,1,1,2,3,0,1,3,2,3,2
