i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,i41,i42,i43,i44,i45,i46,i47,i48,i49,i50,i51,i52,i53,i54,i55,i56,i57,i58,i59,i60,i61,i62,i63,i64,i65,i66,i67,Recid,o1,o2,o3
NA,NA,1,3,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,1,1,1,5,4,4,0,0,0,0,0,1,0,NA,NA,2,2,0,0,1,0,4,0,0,1,0,0,5,5,1,0,0,0,0,4,5,0,0,0,0,NA,NA,2541,1,4,NA
4,0,1,3,3,2,0,0,0,0,0,0,NA,NA,0,3,2,1,5,NA,0,0,0,0,NA,1,2,3,5,5,5,4,2,0,4,0,0,0,NA,NA,1,2,0,0,1,4,0,0,0,4,0,0,5,6,3,1,0,0,0,4,3,0,3,0,0,NA,NA,2542,1,4,NA
2,0,1,4,3,3,1,0,0,NA,0,NA,0,0,2,0,2,0,4,0,0,0,0,1,0,4,2,3,5,4,5,4,0,0,4,2,0,0,NA,NA,2,2,0,NA,1,5,5,0,0,3,0,2,6,5,1,0,0,NA,1,2,2,3,0,1,0,NA,NA,2543,1,4,NA
1,0,0,5,3,2,0,0,0,0,0,0,0,0,2,1,1,0,NA,0,0,0,0,0,0,2,1,3,5,4,4,4,0,0,5,1,2,0,NA,NA,2,1,0,0,NA,0,4,0,0,3,0,NA,5,5,0,1,1,0,NA,4,3,0,0,0,0,NA,NA,2544,1,4,NA
3,1,3,2,NA,1,0,1,0,NA,0,NA,NA,NA,NA,NA,4,0,NA,0,NA,0,0,0,0,0,0,4,6,4,6,4,0,NA,0,0,0,0,NA,NA,1,1,0,0,NA,5,3,0,0,0,0,NA,5,4,0,0,0,0,NA,5,0,0,0,0,0,NA,NA,2545,1,4,NA
3,0,3,0,1,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,4,5,5,6,4,0,0,5,2,1,0,NA,NA,1,0,0,NA,3,3,3,0,0,3,0,1,6,4,0,0,0,0,1,4,0,2,0,3,0,NA,NA,2546,1,4,NA
NA,0,0,4,4,3,2,0,0,NA,0,NA,0,0,3,3,5,1,4,2,NA,0,0,0,3,3,2,4,5,4,5,4,0,NA,2,0,1,0,NA,NA,2,2,0,NA,0,0,3,1,0,3,0,0,6,6,3,0,0,1,1,4,3,2,3,2,NA,NA,NA,2547,1,4,NA
4,1,1,3,3,2,0,0,0,NA,0,NA,NA,NA,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,4,5,NA,0,NA,4,0,0,0,NA,NA,0,1,0,NA,3,5,8,1,0,1,0,1,5,5,0,1,0,0,0,4,4,0,0,0,0,NA,NA,2548,1,4,NA
4,0,0,2,4,NA,2,1,0,NA,0,NA,NA,NA,0,0,NA,NA,4,2,0,0,0,0,0,2,3,4,4,4,4,NA,0,0,0,0,0,0,NA,NA,2,1,0,NA,5,3,3,1,0,1,0,0,5,NA,0,0,2,0,0,4,NA,0,NA,0,0,NA,NA,2549,1,4,NA
NA,NA,1,1,1,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,0,0,1,0,3,4,4,3,NA,0,NA,0,0,0,0,NA,NA,0,0,0,NA,1,4,4,0,0,2,NA,NA,6,NA,0,0,0,NA,0,3,NA,3,NA,0,NA,NA,NA,2550,1,4,NA
3,NA,0,1,2,3,1,1,0,NA,0,NA,NA,NA,2,2,3,0,2,2,0,0,0,0,0,3,2,0,5,5,4,3,0,0,0,0,0,0,NA,NA,0,1,0,NA,3,0,1,0,0,3,0,0,5,4,3,0,0,0,0,3,0,0,0,1,0,NA,NA,2551,1,4,NA
3,0,1,1,1,0,0,0,0,NA,0,NA,NA,NA,0,0,2,0,3,0,0,0,0,0,0,3,3,3,5,4,4,2,1,NA,5,0,0,0,NA,NA,0,0,0,NA,0,8,8,0,0,1,0,2,5,NA,2,0,0,0,0,3,NA,0,NA,1,1,NA,NA,2552,1,4,NA
3,0,0,3,4,3,1,0,0,NA,0,NA,NA,NA,0,2,NA,NA,0,0,0,0,0,0,0,0,1,3,5,NA,3,NA,1,NA,3,NA,0,NA,NA,NA,2,2,0,NA,0,3,3,0,0,0,NA,1,5,4,0,1,0,0,0,4,0,0,0,0,1,NA,NA,2553,1,4,NA
3,0,2,4,3,2,0,0,0,NA,1,NA,NA,NA,NA,0,5,0,3,0,0,0,0,0,2,1,3,1,4,3,3,0,1,0,2,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,3,NA,2,5,4,NA,0,0,NA,0,4,0,0,0,0,0,NA,NA,2554,1,4,NA
3,NA,1,1,0,0,0,0,1,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0,1,NA,NA,5,4,4,2,1,1,0,0,0,0,NA,NA,0,0,0,NA,0,3,4,0,0,3,NA,NA,5,5,0,1,0,0,0,4,3,0,0,0,NA,NA,NA,2555,1,4,NA
3,1,0,3,4,3,1,1,0,NA,0,NA,NA,NA,3,0,NA,NA,5,0,0,0,0,0,0,3,3,4,5,NA,4,NA,0,NA,0,NA,0,NA,NA,NA,1,1,0,NA,2,2,3,0,0,0,NA,2,5,4,0,1,1,NA,0,4,0,0,0,0,0,NA,NA,2556,1,4,NA
1,0,0,5,5,0,0,1,0,NA,0,NA,NA,NA,0,6,0,0,2,0,NA,0,0,0,0,2,3,2,5,4,4,0,0,0,3,0,0,0,NA,NA,3,3,0,NA,4,0,0,0,0,2,NA,0,5,5,NA,1,0,0,0,5,4,0,0,0,0,NA,NA,2557,1,4,NA
1,0,0,3,0,0,0,0,0,NA,0,NA,NA,NA,0,0,1,0,NA,0,2,0,0,0,0,0,0,2,5,4,5,4,0,NA,5,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,3,0,2,5,4,2,1,1,0,0,5,0,0,0,0,0,NA,NA,2558,1,4,NA
3,0,0,2,3,NA,1,1,0,NA,0,NA,NA,NA,0,0,NA,NA,1,0,0,0,0,0,2,3,2,3,4,4,5,NA,0,NA,5,0,0,0,NA,NA,3,2,0,NA,0,1,3,0,0,3,0,2,6,5,2,0,NA,0,0,3,1,1,0,0,1,NA,NA,2559,1,4,NA
1,0,0,3,4,2,2,0,0,NA,0,NA,NA,0,NA,0,1,0,1,1,1,0,0,0,0,3,3,4,4,4,5,4,0,0,5,0,0,0,NA,NA,1,0,0,NA,0,2,3,0,0,1,0,2,5,4,0,1,0,0,0,4,0,0,0,0,0,NA,NA,2560,1,4,NA
NA,NA,1,2,2,NA,0,0,1,NA,0,NA,NA,NA,NA,0,NA,NA,1,0,0,0,0,0,0,1,0,2,5,5,5,4,NA,0,0,0,0,0,NA,NA,2,2,0,NA,3,3,0,0,0,4,NA,1,5,NA,0,1,0,NA,0,4,NA,0,NA,0,0,NA,NA,2561,1,4,NA
3,0,1,3,4,2,1,0,0,NA,0,NA,NA,0,0,2,NA,NA,5,1,0,0,0,0,0,3,0,4,4,4,5,3,0,0,0,0,0,0,NA,NA,1,2,0,NA,4,3,3,0,0,1,0,1,6,4,0,0,0,0,1,4,0,2,0,0,0,NA,NA,2562,1,4,NA
3,NA,3,4,4,2,0,0,0,NA,0,NA,NA,0,0,0,4,0,2,0,0,0,0,0,0,0,NA,0,5,4,4,2,0,0,0,0,NA,NA,NA,NA,1,1,0,NA,0,2,3,0,0,0,0,2,5,4,1,1,0,0,0,3,0,0,0,0,0,NA,NA,2563,1,4,NA
3,0,2,1,1,NA,0,0,0,NA,0,NA,NA,NA,3,0,NA,NA,0,2,2,0,0,0,0,2,3,3,4,NA,4,NA,0,NA,4,NA,0,NA,NA,NA,0,1,0,NA,0,3,4,0,0,3,NA,2,5,4,0,1,0,1,0,4,0,0,0,0,0,NA,NA,2564,1,4,NA
3,0,1,2,3,NA,0,0,0,NA,0,NA,NA,0,0,2,NA,NA,3,3,2,0,0,0,0,3,0,3,5,4,6,4,0,NA,6,0,0,0,NA,NA,0,0,0,NA,0,4,4,0,0,1,NA,2,5,6,0,1,0,0,0,5,2,0,3,4,1,NA,NA,2565,1,4,NA
3,0,0,2,3,NA,0,0,0,NA,0,NA,NA,NA,0,0,NA,NA,2,0,2,0,0,0,0,1,1,3,5,4,5,4,1,0,1,0,0,0,NA,NA,0,1,0,NA,2,0,3,0,0,2,0,2,5,5,2,0,0,0,1,3,3,0,0,0,0,NA,NA,2566,1,4,NA
3,0,0,4,4,4,6,0,0,NA,0,NA,0,0,5,4,3,0,5,0,0,0,0,0,0,3,2,3,5,4,5,3,3,3,3,0,1,0,NA,NA,3,3,0,NA,3,3,4,0,0,2,0,2,6,6,1,1,0,1,1,4,3,3,2,1,0,NA,NA,2567,1,4,NA
NA,NA,1,0,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,2,2,2,0,0,0,0,1,2,3,6,5,5,0,0,0,4,2,0,0,NA,NA,0,0,0,NA,0,3,8,0,0,0,NA,NA,5,4,0,0,0,NA,0,4,0,0,0,0,NA,NA,NA,2568,1,4,NA
NA,NA,0,5,5,NA,5,1,0,NA,0,NA,NA,0,0,2,NA,NA,2,0,0,0,0,0,0,1,3,4,5,4,5,NA,1,NA,2,NA,0,NA,NA,NA,2,2,0,NA,3,0,0,0,0,1,0,NA,5,NA,3,1,NA,0,NA,4,NA,0,NA,0,NA,NA,NA,2569,1,4,NA
3,NA,2,2,2,1,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,3,0,0,0,0,0,0,3,3,2,4,4,4,NA,1,NA,2,0,0,0,NA,NA,0,0,0,NA,1,2,3,0,0,3,0,2,5,5,1,1,1,0,0,3,2,0,0,0,0,NA,NA,2570,1,4,NA
3,NA,1,2,2,1,1,0,0,NA,0,NA,NA,NA,2,0,2,0,3,0,0,0,0,0,0,2,2,4,5,5,5,4,NA,0,6,0,2,0,NA,NA,1,0,0,NA,0,4,1,0,0,1,0,NA,6,NA,0,5,0,0,NA,4,NA,2,NA,0,0,NA,NA,2571,1,4,NA
4,0,0,1,3,2,1,0,0,NA,0,NA,NA,NA,0,6,0,0,4,1,2,0,0,0,0,4,0,4,4,4,5,4,0,0,6,0,0,0,NA,NA,1,1,0,NA,1,3,4,0,0,2,0,NA,6,NA,1,0,0,0,0,3,NA,2,NA,1,NA,NA,NA,2572,1,4,NA
3,0,2,4,3,3,0,0,0,NA,0,NA,0,NA,0,0,3,0,4,0,0,0,0,0,0,0,2,2,5,4,5,NA,0,NA,3,2,0,NA,NA,NA,2,2,0,NA,3,0,3,0,0,2,0,2,5,4,0,1,1,0,1,3,0,0,0,4,0,NA,NA,2573,1,4,NA
4,0,2,3,3,2,0,1,0,NA,0,NA,0,0,0,2,2,0,3,2,2,0,0,0,0,3,0,4,5,4,4,3,0,0,2,0,0,0,NA,NA,2,1,0,NA,2,3,4,0,0,0,0,2,5,6,3,0,0,0,1,4,2,0,3,0,1,NA,NA,2574,1,4,NA
3,NA,1,2,2,2,0,0,0,NA,0,NA,NA,NA,2,3,3,0,3,2,0,0,0,0,0,1,0,1,4,4,4,4,1,2,5,0,0,0,NA,NA,1,1,0,NA,0,2,4,0,0,1,0,2,5,5,1,0,1,0,0,4,2,0,0,0,0,NA,NA,2575,1,4,NA
1,0,0,1,1,0,1,0,0,NA,0,NA,NA,NA,0,0,1,0,2,0,0,0,0,0,0,0,1,0,5,4,5,4,5,0,0,0,0,0,NA,NA,0,0,0,NA,0,4,8,0,0,3,0,2,5,4,1,0,0,0,0,4,0,0,0,0,0,NA,NA,2576,1,4,NA
3,0,1,0,1,0,0,0,0,NA,0,NA,NA,NA,0,1,0,0,2,2,0,0,0,0,0,0,1,2,4,4,4,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,3,3,0,0,2,1,2,6,4,0,1,0,0,0,2,0,3,0,0,1,NA,NA,2577,1,4,NA
3,0,2,4,3,2,1,0,0,NA,0,NA,0,NA,4,0,5,0,5,NA,0,NA,NA,0,NA,NA,2,4,5,5,5,4,0,0,0,0,0,0,NA,NA,1,0,0,NA,4,8,NA,1,NA,1,NA,NA,6,6,0,1,1,0,NA,4,2,3,4,3,NA,NA,NA,2578,1,4,NA
1,NA,0,2,2,1,1,0,0,NA,0,NA,NA,NA,0,2,0,0,1,0,3,0,0,0,0,0,4,4,5,4,4,2,2,1,4,0,0,NA,NA,NA,1,1,0,NA,1,0,0,0,0,2,0,NA,6,6,0,0,0,1,NA,4,3,2,2,0,NA,NA,NA,2579,1,4,NA
3,0,1,1,0,0,0,0,0,NA,0,NA,0,0,1,1,1,0,3,0,2,0,0,0,0,0,0,2,5,4,4,NA,0,NA,0,0,0,0,NA,NA,0,1,0,NA,1,3,3,0,0,3,0,0,5,NA,0,0,0,1,1,3,NA,0,NA,0,0,NA,NA,2580,1,4,NA
3,0,0,3,7,2,3,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,2,0,NA,0,0,0,0,0,0,1,5,4,4,0,1,0,0,0,0,0,NA,NA,2,2,0,NA,3,0,4,0,0,2,NA,2,5,5,0,1,0,NA,NA,4,3,0,0,0,0,NA,NA,2581,1,4,NA
3,NA,1,1,1,1,0,0,0,NA,0,NA,NA,NA,0,NA,1,0,2,3,0,0,0,0,0,4,1,NA,4,5,5,3,0,NA,0,0,0,0,NA,NA,1,1,0,NA,0,4,9,0,0,0,0,0,5,NA,0,0,NA,NA,0,3,NA,0,NA,2,1,NA,NA,2582,1,4,NA
2,NA,0,3,4,2,1,0,0,NA,0,NA,0,0,0,0,2,0,2,2,0,0,0,0,NA,2,NA,4,5,4,4,3,0,0,3,0,1,0,NA,NA,NA,NA,0,NA,0,0,3,0,0,0,0,2,5,4,2,0,0,0,0,2,0,0,0,0,0,NA,NA,2583,1,4,NA
3,NA,0,1,2,2,0,NA,1,NA,0,NA,0,0,0,1,5,0,3,2,0,0,0,0,1,0,1,0,5,4,4,0,0,NA,0,0,0,0,NA,NA,0,1,0,NA,2,4,4,0,0,2,2,1,5,4,1,0,0,1,0,3,0,0,0,0,1,NA,NA,2584,1,4,NA
4,0,1,3,3,2,0,0,0,NA,0,NA,0,NA,2,2,3,0,2,0,0,0,0,0,NA,2,3,2,5,4,4,3,2,1,0,0,2,0,NA,NA,3,3,0,NA,NA,3,0,0,0,3,NA,2,5,5,NA,0,0,NA,NA,5,4,0,0,0,0,NA,NA,2585,1,4,NA
3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,5,4,5,3,0,3,0,0,0,0,NA,NA,0,0,0,0,0,3,3,0,0,NA,NA,NA,NA,5,NA,NA,0,NA,NA,NA,2,NA,0,NA,0,NA,NA,2586,1,4,NA
3,1,1,0,NA,2,0,NA,NA,NA,1,NA,0,NA,0,NA,2,0,3,2,0,0,0,0,0,1,2,2,5,4,4,NA,0,NA,2,NA,0,NA,NA,NA,0,0,0,NA,1,9,9,0,0,2,0,1,5,4,0,0,0,0,0,5,4,0,0,2,0,NA,NA,2587,1,4,NA
3,NA,1,0,1,2,0,0,1,NA,0,NA,NA,NA,0,1,2,0,3,0,0,0,0,0,0,3,2,3,5,NA,4,NA,1,NA,0,NA,0,NA,NA,NA,0,0,0,NA,1,3,8,0,0,3,2,NA,5,NA,0,0,NA,0,NA,4,NA,0,NA,0,NA,NA,NA,2588,1,4,NA
3,0,1,3,3,2,1,1,0,NA,0,NA,NA,NA,3,2,3,0,0,2,0,0,0,0,1,0,0,1,5,4,5,NA,2,NA,6,2,0,0,NA,NA,2,2,0,NA,1,3,8,0,0,1,0,1,5,NA,0,0,2,1,0,3,NA,0,NA,2,2,NA,NA,2589,1,4,NA
3,0,1,NA,1,1,0,0,0,NA,0,NA,0,0,NA,5,3,0,3,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,NA,4,4,4,0,0,1,0,2,5,4,1,1,1,0,0,4,0,0,0,0,0,NA,NA,2590,1,4,NA
4,0,0,2,2,1,4,5,0,NA,0,NA,NA,NA,0,2,1,0,2,2,2,0,0,0,0,1,3,1,5,4,5,3,0,0,2,0,0,0,NA,NA,3,3,0,NA,2,8,4,0,0,NA,NA,NA,5,4,NA,1,0,NA,NA,5,0,0,0,0,NA,NA,NA,2591,1,4,NA
3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,4,4,3,NA,0,2,0,0,0,NA,NA,1,0,0,0,2,0,3,0,0,NA,NA,NA,5,4,NA,0,0,NA,NA,4,0,0,0,0,1,NA,NA,2592,1,4,NA
NA,NA,0,1,1,2,1,1,0,NA,0,NA,0,0,1,4,2,0,1,0,0,0,0,0,0,3,0,4,5,3,4,4,1,NA,0,0,2,0,NA,NA,1,2,0,NA,NA,0,4,0,0,2,0,NA,5,4,1,1,0,0,NA,4,0,0,0,0,0,NA,NA,2593,1,4,NA
3,NA,2,4,7,NA,1,NA,1,NA,0,NA,0,NA,2,NA,NA,NA,1,0,0,0,0,0,0,1,0,3,5,4,4,2,0,NA,0,0,0,0,NA,NA,3,2,0,NA,1,2,3,0,0,2,NA,2,6,5,0,0,0,0,0,4,3,1,0,0,0,NA,NA,2594,1,4,NA
NA,NA,1,0,1,1,0,0,0,NA,0,NA,0,NA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,5,4,0,0,5,0,0,0,NA,NA,0,0,0,NA,1,3,4,0,0,3,2,2,5,4,3,0,0,0,0,4,0,0,0,3,2,NA,NA,2595,1,4,NA
3,0,1,0,0,0,0,0,0,NA,0,NA,0,NA,0,1,0,0,1,3,0,0,0,0,0,1,3,2,4,4,4,2,0,0,0,0,0,NA,NA,NA,0,0,0,NA,2,9,0,0,0,NA,NA,NA,5,4,0,1,0,NA,NA,5,0,0,0,NA,0,NA,NA,2596,1,4,NA
2,0,0,2,1,1,1,1,0,NA,0,NA,NA,NA,0,1,1,0,2,NA,0,0,0,0,NA,1,2,3,5,4,6,4,1,0,1,0,0,0,NA,NA,1,1,0,NA,2,0,4,0,0,4,1,NA,5,4,0,1,0,1,NA,4,0,0,0,0,0,NA,NA,2597,1,4,NA
1,0,1,1,2,1,0,0,0,NA,0,NA,NA,NA,2,4,2,0,4,0,0,NA,0,0,NA,2,0,4,5,4,6,4,2,1,5,5,0,0,NA,NA,1,1,0,NA,0,9,8,0,0,3,0,1,5,4,0,0,0,1,1,4,0,0,0,0,0,NA,NA,2598,1,4,NA
3,0,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,NA,NA,0,0,0,0,0,NA,5,5,4,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,4,NA,NA,0,NA,NA,NA,0,NA,0,NA,3,NA,NA,2599,1,4,NA
3,0,0,1,1,0,0,0,0,NA,0,NA,NA,NA,0,0,1,0,0,0,2,0,0,0,1,1,1,2,6,4,3,2,NA,NA,3,NA,0,NA,NA,NA,0,0,0,NA,1,0,3,0,0,2,0,0,5,4,0,4,3,0,0,4,0,0,0,0,0,NA,NA,2600,1,4,NA
2,0,2,2,2,1,0,0,0,NA,0,NA,NA,NA,1,0,0,0,2,0,0,0,0,0,0,1,0,2,5,4,4,2,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,3,0,0,2,0,NA,5,NA,0,NA,NA,0,NA,4,NA,0,NA,0,NA,NA,NA,2601,1,4,NA
3,0,0,0,1,1,0,0,0,NA,0,NA,NA,NA,1,3,2,2,3,0,2,0,0,0,0,2,0,3,5,4,5,3,2,0,7,5,2,0,NA,NA,1,1,0,NA,0,3,8,0,0,0,0,2,5,4,1,2,0,0,0,4,0,0,0,0,0,NA,NA,2602,1,4,NA
3,NA,1,1,1,1,0,0,0,NA,0,NA,NA,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,1,0,4,2,2,0,NA,NA,0,0,0,NA,1,0,3,0,0,3,NA,2,5,NA,0,2,NA,NA,0,3,NA,0,NA,NA,0,NA,NA,2603,1,4,NA
3,0,1,3,3,2,4,3,0,NA,0,NA,0,NA,1,3,2,0,3,0,0,0,0,0,2,0,4,4,5,4,5,NA,0,0,3,2,0,NA,NA,NA,3,3,0,NA,3,2,0,0,0,2,0,2,5,4,2,1,0,1,0,4,0,0,0,0,0,NA,NA,2604,1,4,NA
3,1,1,3,3,2,1,0,0,NA,0,NA,NA,NA,2,3,2,1,3,2,2,0,0,0,0,3,2,2,5,4,5,0,0,1,0,0,0,NA,NA,NA,2,2,0,NA,4,3,4,0,0,2,2,2,5,NA,0,0,0,0,0,3,NA,0,NA,0,0,NA,NA,2605,1,4,NA
3,0,2,3,4,2,0,1,0,NA,0,NA,NA,NA,NA,3,2,0,3,0,0,0,0,0,0,4,NA,4,5,4,5,2,0,1,3,0,0,0,NA,NA,1,1,0,NA,0,3,3,0,0,NA,NA,NA,5,5,NA,0,0,NA,NA,4,2,0,0,NA,NA,NA,NA,2606,1,4,NA
1,0,0,2,2,NA,1,0,0,NA,0,NA,NA,0,1,1,NA,NA,3,0,1,0,0,0,0,1,0,2,5,4,4,2,1,0,5,0,0,0,NA,NA,1,1,0,NA,2,3,0,0,0,3,2,2,5,5,0,0,0,1,1,4,2,0,0,1,1,NA,NA,2607,1,4,NA
3,0,2,2,3,2,0,0,0,NA,0,NA,0,NA,0,0,3,0,3,0,0,0,0,0,2,0,1,1,5,5,4,3,0,0,4,2,0,0,NA,NA,1,1,0,NA,3,3,3,0,0,3,0,NA,5,4,NA,1,1,NA,NA,4,0,0,0,0,0,NA,NA,2608,1,4,NA
3,0,1,3,4,2,0,1,0,NA,0,NA,NA,NA,0,3,2,0,3,0,0,0,0,0,0,1,3,2,5,4,4,3,0,NA,4,2,0,0,NA,NA,2,2,0,NA,2,3,3,0,0,0,NA,2,5,4,0,2,2,NA,0,4,0,0,0,0,0,NA,NA,2609,1,4,NA
3,0,0,1,2,2,0,0,0,NA,0,NA,NA,NA,0,0,2,0,1,3,0,0,0,0,0,0,0,2,5,5,5,3,0,0,4,0,0,0,NA,NA,1,1,0,NA,0,4,9,0,0,NA,NA,1,5,4,NA,1,0,NA,0,4,0,0,0,0,0,NA,NA,2610,1,4,NA
2,0,0,5,5,NA,2,1,0,NA,0,NA,NA,NA,0,NA,0,0,2,2,0,0,0,0,1,1,3,1,5,4,5,4,0,0,4,2,0,0,NA,NA,3,3,0,NA,3,3,4,0,0,2,2,2,5,5,0,2,0,1,0,5,4,0,0,3,0,NA,NA,2611,1,4,NA
3,0,0,1,1,0,1,0,0,NA,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,4,5,4,0,0,4,0,0,0,NA,NA,0,0,0,NA,0,3,3,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,1,2,NA,NA,2612,1,4,NA
NA,NA,0,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,0,NA,3,0,2,0,NA,0,0,NA,1,3,NA,NA,5,NA,4,NA,1,NA,1,NA,0,NA,NA,NA,1,0,0,NA,3,0,0,0,0,2,0,2,5,NA,2,1,0,0,0,4,NA,0,NA,0,1,NA,NA,2613,1,4,NA
3,0,2,2,2,NA,0,1,0,NA,0,NA,NA,NA,4,1,NA,NA,1,0,NA,0,0,0,0,4,0,3,4,3,5,NA,0,NA,0,0,0,0,NA,NA,1,0,0,NA,1,0,0,0,0,4,NA,0,5,5,NA,1,0,NA,0,4,3,0,0,NA,0,NA,NA,2614,1,4,NA
3,1,1,1,1,1,0,0,0,NA,0,NA,NA,NA,0,0,1,0,3,0,2,0,0,0,2,2,0,3,5,4,4,3,0,0,0,0,0,0,NA,NA,0,0,0,NA,2,0,3,0,0,3,0,2,5,4,2,1,0,0,0,4,0,0,0,0,0,NA,NA,2615,1,4,NA
2,0,0,4,3,3,2,0,0,0,0,0,0,NA,0,2,2,0,2,0,0,0,0,0,0,0,0,1,5,4,4,2,0,0,0,0,0,0,NA,NA,2,2,0,0,2,0,3,0,0,2,NA,NA,5,4,0,1,NA,0,NA,4,0,0,0,0,0,NA,NA,2616,1,4,NA
2,0,0,4,4,2,1,1,0,NA,0,NA,NA,NA,2,3,2,NA,2,2,0,0,0,0,0,1,0,2,5,5,4,NA,0,NA,0,NA,0,0,NA,NA,2,2,0,NA,2,3,0,0,0,2,NA,1,5,5,0,2,0,NA,0,4,2,0,0,0,0,NA,NA,2617,1,4,NA
3,NA,0,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,0,NA,0,0,1,0,0,0,0,0,0,2,0,3,5,5,5,3,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,3,0,0,3,0,1,5,4,0,0,0,0,0,4,0,0,0,0,0,NA,NA,2618,1,4,NA
3,0,2,1,NA,1,0,0,0,0,0,0,0,NA,0,0,1,0,1,0,0,0,0,0,1,1,0,2,5,4,5,2,0,0,5,2,0,0,NA,NA,0,0,0,0,0,3,4,0,0,0,NA,NA,5,NA,0,0,NA,0,NA,3,NA,0,NA,1,NA,NA,NA,2619,1,4,NA
3,0,1,1,0,NA,0,0,0,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,0,0,0,0,0,1,0,2,5,4,5,4,0,0,0,0,0,0,NA,NA,0,0,0,NA,2,4,4,0,0,1,0,2,5,4,0,1,0,0,0,2,0,0,0,1,1,NA,NA,2620,1,4,NA
3,0,3,3,2,2,3,2,0,NA,0,NA,0,0,0,1,1,0,4,1,1,0,0,0,NA,NA,NA,NA,5,4,5,2,NA,2,4,0,0,0,NA,NA,2,2,0,NA,2,3,5,0,0,3,0,0,5,5,2,3,0,0,0,5,5,0,0,1,1,NA,NA,2621,1,4,NA
4,0,2,0,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,4,5,0,1,1,0,0,0,0,NA,NA,1,1,0,NA,0,3,8,0,0,0,0,2,5,4,2,0,0,0,0,5,0,0,0,1,1,NA,NA,2622,1,4,NA
3,0,0,3,3,NA,4,2,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,5,4,4,4,0,0,0,0,0,0,NA,NA,2,2,0,NA,2,1,2,0,0,2,0,2,5,5,0,0,0,0,NA,4,2,0,0,1,0,NA,NA,2623,1,4,NA
3,1,0,2,2,2,1,1,0,0,0,0,0,0,1,4,3,1,1,3,0,0,0,0,NA,NA,NA,NA,5,4,5,4,0,0,0,0,0,0,NA,NA,0,0,0,0,0,2,4,0,0,2,0,2,6,4,0,0,0,1,1,4,0,2,0,1,1,NA,NA,2624,1,4,NA
4,0,1,1,NA,1,0,0,0,NA,0,NA,NA,NA,0,NA,1,0,1,2,0,0,0,0,NA,NA,NA,NA,5,4,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,NA,2,4,1,0,0,4,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,NA,NA,2625,1,4,NA
3,0,3,NA,NA,2,0,0,0,NA,0,NA,NA,NA,NA,NA,1,0,3,NA,NA,NA,0,0,NA,NA,NA,NA,5,5,4,4,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2626,1,4,NA
3,0,3,NA,NA,2,0,0,0,NA,0,NA,NA,NA,NA,NA,1,0,3,NA,NA,NA,0,0,NA,NA,NA,NA,5,5,4,4,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2627,1,4,NA
